date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:21	156168/156168	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jul%202025%2010:11:21%20GMT	https://xopepsminhdang.com/	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/index.html	(from )
17:11:21	158/158	---M-Z	200	added ('OK')	text/plain	date:Sun,%2027%20Jul%202025%2010:11:20%20GMT	https://xopepsminhdang.com/robots.txt		(from )
17:11:21	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2027%20Jul%202025%2010:11:22%20GMT	https://xopepsminhdang.com/xmlrpc.php	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/xmlrpc.php	(from https://xopepsminhdang.com/)
17:11:21	52971/52971	---M-Z	200	added ('OK')	text/javascript	etag:%22ceeb-67e275c7-1c13c5;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=e1ad26bd5672989785e1	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/js/flatsome8489.js	(from https://xopepsminhdang.com/)
17:11:22	49912/49912	---M-Z	200	added ('OK')	text/javascript	etag:%22c2f8-67e275c7-1c13da;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.19.11	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.slider846c.js	(from https://xopepsminhdang.com/)
17:11:22	20040/20040	---M-Z	200	added ('OK')	text/javascript	etag:%224e48-67e275c7-1c13d8;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.19.11	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.popups846c.js	(from https://xopepsminhdang.com/)
17:11:22	39859/39859	---M-Z	200	added ('OK')	text/javascript	etag:%229bb3-67e275c7-1c13d6;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.19.11	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/js/chunk.tooltips846c.js	(from https://xopepsminhdang.com/)
17:11:22	23214/23214	---M-Z	200	added ('OK')	text/javascript	etag:%225aae-67e275c7-1c13d5;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=dd6035ce106022a74757	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/js/woocommercefa29.js	(from https://xopepsminhdang.com/)
17:11:22	34134/34134	---M-Z	200	added ('OK')	text/css	etag:%228556-67e27f32-1ad9e7;gz%22	https://xopepsminhdang.com/wp-content/plugins/chaty-pro/css/chaty-front.min.css?ver=3.3.51742897056	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/plugins/chaty-pro/css/chaty-front.min47fc.css	(from https://xopepsminhdang.com/)
17:11:23	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-67e272c7-1c0ab9;gz%22	https://xopepsminhdang.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.7.1	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/plugins/woocommerce/assets/css/brands04d4.css	(from https://xopepsminhdang.com/)
17:11:23	42671/42671	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b8954d22c5141c052ae961fe5c52dd2a%22	https://xopepsminhdang.com/feed/	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/feed/index.html	(from https://xopepsminhdang.com/)
17:11:23	152082/152082	---M-Z	200	added ('OK')	text/css	etag:%2225212-67e275c7-1c13f2;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.19.11	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/css/flatsome846c.css	(from https://xopepsminhdang.com/)
17:11:23	13526/13526	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2234d6-67e275c7-1c13fa;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.19.11	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/css/icons/fl-iconsdebf.eot	(from https://xopepsminhdang.com/)
17:11:23	13526/13526	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2234d6-67e275c7-1c13fa;gz%22	https://xopepsminhdang.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	C:/My%20Web%20Sites/XopKinhBac/xopepsminhdang.com/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	(from https://xopepsminhdang.com/)
